Name,Category,RetailUnit,RetailPrice,WholesalePrice,CostPrice,ReorderLevel,Barcode
UHT milk (500ml),Beverages,Pcs,65,62,58,12,
Rusk 200ml,Beverages,Pcs,30,28,25,24,
Ginger juice 500ml,Beverages,Bottle,120,115,105,6,
Ketepa tea leaves 500g,Beverages,Pkt,250,245,230,6,
Instant coffee sachets,Beverages,Sachet,15,14,12,50,
Coca-Cola 300ml,Beverages,Bottle,30,28,26,48,
Fanta Orange 300ml,Beverages,Bottle,30,28,26,48,
Sprite 300ml,Beverages,Bottle,30,28,26,48,
Water 500ml,Beverages,Bottle,25,23,20,48,
Water refill gallon,Beverages,Gallon,70,65,50,24,
Mango juice 1L,Beverages,Pcs,180,170,155,12,
Pineapple juice 1L,Beverages,Pcs,180,170,155,12,
Energy drink 250ml,Beverages,Pcs,200,190,175,12,
Maize flour 2kg (Dola/Jogoo),Staples,Pkt,240,230,215,20,
Maize flour 5kg,Staples,Pkt,560,540,500,10,
Wheat flour 2kg (Ajab),Staples,Pkt,190,180,170,16,
Long grain rice 1kg,Staples,Pkt,130,125,118,12,
Pishori rice 1kg,Staples,Pkt,180,174,165,12,
Sugar 1kg (Sony),Staples,Pkt,210,205,198,24,
Tea masala 200g,Staples,Pkt,150,142,130,6,
Dry mixed beans 1kg,Staples,Kg,180,170,160,20,
Dry maize 1kg,Staples,Kg,80,75,70,30,
Green grams (ndengu) 1kg,Staples,Kg,320,310,295,10,
Cowpeas 1kg,Staples,Kg,200,190,180,10,
Green peas 1kg,Staples,Kg,220,210,200,10,
Omena 1kg,Staples,Kg,600,580,550,5,
Uji flour 1kg (millet),Staples,Pkt,180,172,160,10,
Cooking oil 1L (Bidco),Oils & Dairy,Bottle,340,330,315,12,
Cooking oil 2L,Oils & Dairy,Bottle,660,645,620,8,
Cooking oil 5L,Oils & Dairy,Bottle,1580,1540,1480,4,
Margarine 500g,Oils & Dairy,Tub,360,350,335,6,
Yoghurt 500ml,Oils & Dairy,Pcs,140,133,125,12,
Lala milk 500ml,Oils & Dairy,Pcs,70,66,62,24,
Cheese slices 12s,Oils & Dairy,Pkt,260,252,240,4,
Butter 250g,Oils & Dairy,Pcs,280,270,260,4,
Powdered milk 200g,Oils & Dairy,Pcs,320,308,290,6,
Sup Loaf bread 400g,Snacks & Sweets,Loaf,60,55,50,20,
Sunblest loaf 400g,Snacks & Sweets,Loaf,65,60,54,20,
Assorted biscuits 200g,Snacks & Sweets,Pkt,80,74,68,24,
Krisp chips 35g,Snacks & Sweets,Pkt,30,27,24,36,
Bob's sweets assorted,Snacks & Sweets,Pkt,50,46,42,24,
Roasted peanuts 100g,Snacks & Sweets,Pkt,60,55,50,12,
Chewing gum,Snacks & Sweets,Pcs,10,9,8,50,
Gemi bar soap 120g,Household,Pcs,30,27,24,36,
Omo detergent 500g,Household,Pkt,230,222,210,12,
Dishwashing liquid 500ml,Household,Bottle,180,172,160,8,
Multipurpose cleaner 750ml,Household,Bottle,220,210,195,6,
Lifebuoy soap 125g,Household,Pcs,65,61,55,24,
Colgate toothpaste 100g,Household,Tube,160,153,145,12,
Toothbrush,Household,Pcs,80,74,68,24,
Mosquito coil box,Household,Pkt,150,142,130,6,
Air freshener 300ml,Household,Pcs,260,250,238,4,
Shampoo sachet,Body Care,Sachet,10,9,8,60,
Shampoo 200ml,Body Care,Bottle,180,172,160,8,
Nivea body lotion 400ml,Body Care,Pcs,480,466,450,4,
Vaseline petroleum jelly 250ml,Body Care,Tub,280,272,260,6,
Sanitary pads (pack),Body Care,Pkt,150,144,135,8,
Shaving blades (pack),Body Care,Pcs,30,27,25,12,
Hand sanitizer 100ml,Body Care,Bottle,110,104,95,8,
Dry cell battery,Convenience,Pcs,50,46,42,12,
Candle,Convenience,Pcs,25,23,20,24,
Matchbox,Convenience,Pcs,10,9,8,50,
